Word,Definition
Abate,"Diminish, Decrease, Subside, Lessen"
Sham,"Fake, Fraud, Deception, Hoax"
Figment,"Invention, Fantasy, Illusion, Fabrication"
Muse,"Ponder, Reflect, Contemplate, Think"
Devious,"Cunning, Sneaky, Deceitful, Sly"
Admonish,"Scold, Warn, Rebuke, Reprimand"
Plague,"Afflict, Torment, Burden, Pester"
Unwitting,"Unaware, Unknowing, Accidental, Unintentional"
Subside,"Decrease, Settle, Diminish, Calm"
Illustrious,"Famous, Distinguished, Renowned, Celebrated"
Loath,"Reluctant, Unwilling, Hesitant, Averse"
Administer,"Manage, Oversee, Govern, Direct"
Capitulate,"Surrender, Submit, Yield, Concede"
Menial,"Lowly, Humble, Unskilled, Routine"
Respite,"Break, Relief, Pause, Rest"
Garland,"Wreath, Crown, Festoon, Lei"
Consternation,"Alarm, Dismay, Shock, Distress"
Beseech,"Plead, Beg, Implore, Urge"
Haughty,"Arrogant, Proud, Conceited, Snobbish"
Impetuous,"Reckless, Impulsive, Hasty, Rash"
Lavish,"Extravagant, Generous, Abundant, Luxurious"
Ponder,"Reflect, Consider, Contemplate, Meditate"
Prostrate,"Flat, Exhausted, Overwhelmed, Overcome"
Rapture,"Bliss, Ecstasy, Delight, Joy"
Revelry,"Celebration, Festivity, Merrymaking, Rejoicing"
Headlong,"Reckless, Hasty, Rushed, Impulsive"
Impede,"Hinder, Block, Obstruct, Delay"
Stringent,"Strict, Severe, Rigid, Demanding"
Throng,"Crowd, Swarm, Mob, Horde"
