Word,Definition
Inundate,"Overwhelm, Flood, Swamp, Submerge"
Placate,"Calm, Appease, Soothe, Pacify"
Plight,"Predicament, Hardship, Dilemma, Struggle"
Vigilant,"Alert, Watchful, Cautious, Attentive"
Ballast,"Stabilizer, Weight, Balance, Support"
Clamber,"Climb, Scramble, Scale, Crawl"
Probe,"Investigate, Examine, Explore, Scrutinize"
Arbitrate,"Mediate, Negotiate, Settle, Judge"
Capricious,"Unpredictable, Impulsive, Fickle, Erratic"
Devout,"Pious, Religious, Faithful, Dedicated"
Exuberant,"Enthusiastic, Lively, Energetic, Vibrant"
Intrepid,"Fearless, Bold, Brave, Courageous"
Lucrative,"Profitable, Rewarding, Productive, Gainful"
Dismal,"Gloomy, Dreary, Bleak, Depressing"
Enthrall,"Captivate, Fascinate, Enchant, Mesmerize"
Pander,"Indulge, Cater, Gratify, Appease"
Scrupulous,"Careful, Thorough, Principled, Meticulous"
Complement,"Complete, Enhance, Match, Supplement"
Conjure,"Summon, Evoke, Create, Produce"
Homage,"Tribute, Respect, Honor, Reverence"
Medley,"Mixture, Assortment, Blend, Variety"
Oblige,"Require, Compel, Accommodate, Assist"
Pretentious,"Arrogant, Showy, Pompous, Conceited"
Prowess,"Skill, Expertise, Ability, Mastery"
Rustic,"Rural, Simple, Rough, Countrified"
Vocation,"Career, Calling, Profession, Occupation"
Warble,"Sing, Chirp, Trill, Twitter"
Ebb,"Decline, Recede, Diminish, Wane"
Insulate,"Protect, Shield, Isolate, Cushion"
Lethargic,"Sluggish, Drowsy, Listless, Inactive"
Mottled,"Spotted, Blotched, Speckled, Dappled"
Wean,"Detach, Separate, Withdraw, Transition"
