Word,Synonyms
Glutinous,"Sticky, Gooey, Adhesive, Viscous"
Smear,"Spread, Smudge, Daub, Streak"
Bear,"Carry, Endure, Support, Withstand"
Salary,"Wage, Pay, Earnings, Income"
Tolerable,"Acceptable, Bearable, Adequate, Passable"
Bushel,"Heap, Bundle, Load, Abundance"
Conviction,"Belief, Certainty, Confidence, Assurance"
Chiding,"Scolding, Reprimanding, Rebuking, Reproaching"
Wrung,"Twisted, Squeezed, Wrested, Contorted"
Checkpoint,"Barrier, Control point, Station, Post"
Dignity,"Honor, Respect, Poise, Nobility"
Slogan,"Motto, Catchphrase, Tagline, Mantra"
Sliver,"Fragment, Splinter, Shred, Sliver"
Brim,"Edge, Rim, Brink, Border"
Mere,"Simple, Plain, Basic, Bare"
Gaunt,"Thin, Lean, Haggard, Bony"
Lent,"Loaned, Provided, Supplied, Advanced"
Flecked,"Spotted, Speckled, Dotted, Dappled"
Idle,"Inactive, Lazy, Dormant, Sluggish"
Cram,"Stuff, Pack, Squeeze, Force"
