Word,Synonyms
Caprice,"Whim, Impulse, Fancy, Notion"
Assuage,"Relieve, Soothe, Ease, Calm"
Obstreperous,"Noisy, Unruly, Disruptive, Boisterous"
Fastidious,"Meticulous, Particular, Fussy, Precise"
Garrulous,"Talkative, Chatty, Verbose, Loquacious"
Epiphany,"Revelation, Insight, Discovery, Realization"
Paramount,"Supreme, Chief, Foremost, Primary"
Flippant,"Disrespectful, Frivolous, Glib, Careless"
Extenuating,"Mitigating, Justifying, Qualifying, Lessening"
Abscond,"Flee, Escape, Run away, Vanish"
Succinct,"Brief, Concise, Terse, Compact"
Vacillate,"Waver, Hesitate, Fluctuate, Falter"
Insidious,"Treacherous, Cunning, Deceptive, Sneaky"
Sequester,"Isolate, Separate, Withdraw, Seclude"
Appreciable,"Noticeable, Significant, Considerable, Substantial"
Sophistry,"Deception, Fallacy, Manipulation, Trickery"
Copiousness,"Abundance, Plenty, Profusion, Richness"
Tantamount,"Equivalent, Equal, Comparable, Similar"
Ballast,"Stabilizer, Weight, Balance, Support"
Irascible,"Irritable, Hot-tempered, Grumpy, Touchy"
Circumscribe,"Limit, Restrict, Confine, Bound"
Unacquainted,"Unfamiliar, Ignorant, Unknowing, Inexperienced"
Opportune,"Timely, Favorable, Convenient, Well-timed"
Pugnacious,"Aggressive, Combative, Hostile, Belligerent"
Pejorative,"Insulting, Degrading, Derogatory, Dismissive"
Visage,"Face, Appearance, Countenance, Expression"
Insuperable,"Insurmountable, Unconquerable, Overwhelming, Impossible"
Impetus,"Motivation, Drive, Stimulus, Impulse"
Alacrity,"Eagerness, Enthusiasm, Readiness, Willingness"
Incontrovertable,"Undeniable, Indisputable, Irrefutable, Unquestionable"
Zenith,"Peak, Summit, Pinnacle, Apex"
Punctilious,"Meticulous, Precise, Scrupulous, Exact"
Sedentary,"Inactive, Stationary, Still, Idle"
Callow,"Immature, Naive, Inexperienced, Unsophisticated"
Aver,"Assert, Declare, Affirm, Maintain"
Amorous,"Romantic, Loving, Passionate, Affectionate"
Expostulate,"Protest, Object, Argue, Remonstrate"
Moribund,"Dying, Declining, Fading, Stagnant"
Adroit,"Skillful, Deft, Clever, Capable"
Transmute,"Transform, Convert, Change, Alter"
Gratis,"Free, Complimentary, Unpaid, Costless"
Commiserate,"Sympathize, Empathize, Console, Comfort"
Remunerate,"Pay, Compensate, Reimburse, Reward"
Pernicious,"Harmful, Destructive, Dangerous, Deadly"
Proffer,"Offer, Present, Extend, Tender"
Solicitous,"Attentive, Caring, Concerned, Considerate"
Antecedent,"Predecessor, Forerunner, Precursor, Ancestor"
Viscera,"Organs, Innards, Entrails, Guts"
Eminent,"Distinguished, Prominent, Renowned, Respected"
Tenuous,"Weak, Thin, Fragile, Flimsy"
Clemency,"Mercy, Leniency, Forgiveness, Compassion"
Ribald,"Crude, Coarse, Vulgar, Bawdy"
Diffident,"Shy, Reserved, Timid, Modest"
Scion,"Descendant, Heir, Offspring, Successor"
Evince,"Reveal, Demonstrate, Show, Indicate"
Querulous,"Complaining, Whining, Fretful, Grumbling"
