Word,Synonyms
Usurp,"Seize, Overthrow, Commandeer, Claim"
Engender,"Cause, Produce, Generate, Create"
Saunter,"Stroll, Wander, Amble, Meander"
Instruments,"Tools, Devices, Apparatus, Implements"
Inadvertently,"Accidentally, Unintentionally, Unknowingly, By mistake"
Flair,"Talent, Aptitude, Knack, Skill"
Precept,"Principle, Rule, Guideline, Maxim"
Neurotic,"Anxious, Obsessive, Unstable, Troubled"
Omnibus,"Comprehensive, All-inclusive, Complete, Broad"
Platitude,"Cliché, Banality, Truism, Commonplace"
Temperance,"Moderation, Restraint, Self-control, Sobriety"
Cumulative,"Accumulative, Progressive, Growing, Collective"
Equivocal,"Ambiguous, Vague, Unclear, Misleading"
Patron,"Supporter, Sponsor, Benefactor, Advocate"
Acquiesce,"Agree, Comply, Consent, Submit"
Ponderous,"Heavy, Bulky, Clumsy, Laborious"
Deficient,"Lacking, Inadequate, Insufficient, Flawed"
Profound,"Deep, Intense, Meaningful, Thoughtful"
Puerile,"Childish, Immature, Juvenile, Silly"
Autonomous,"Independent, Self-governing, Sovereign, Free"
Repeal,"Revoke, Abolish, Cancel, Annul"
Diminutive,"Tiny, Small, Miniature, Petite"
Elusive,"Evasive, Fleeting, Slippery, Hard to catch"
Stereotype,"Generalization, Cliché, Pigeonhole, Assumption"
Maudlin,"Sentimental, Tearful, Overly emotional, Weepy"
Inundate,"Overwhelm, Flood, Swamp, Submerge"
Deluge,"Flood, Downpour, Torrent, Overflow"
Effusive,"Gushing, Expressive, Enthusiastic, Lavish"
Arbitrary,"Random, Capricious, Inconsistent, Unreasoned"
Inhibition,"Restraint, Reserve, Barrier, Hesitation"
Brazen,"Bold, Shameless, Audacious, Impudent"
Acrimonious,"Bitter, Hostile, Resentful, Caustic"
Axiom,"Principle, Truth, Maxim, Postulate"
Franchise,"License, Right, Privilege, Authorization"
Judicious,"Wise, Sensible, Prudent, Discerning"
Obdurate,"Stubborn, Unyielding, Inflexible, Hardened"
Solicitous,"Attentive, Caring, Concerned, Considerate"
Incorrigible,"Hopeless, Unruly, Unmanageable, Irredeemable"
Inveterate,"Habitual, Chronic, Persistent, Deep-rooted"
Disseminated,"Spread, Distributed, Circulated, Broadcast"
Surreptitious,"Secretive, Stealthy, Covert, Sneaky"
Veritable,"Genuine, Authentic, True, Real"
Salubrious,"Healthy, Wholesome, Beneficial, Invigorating"
Assiduous,"Diligent, Hardworking, Persistent, Dedicated"
Prosaic,"Ordinary, Mundane, Dull, Unimaginative"
Holistic,"Comprehensive, Integrated, Whole, Unified"
Obstreperous,"Noisy, Unruly, Disruptive, Boisterous"
Extenuating,"Mitigating, Justifying, Qualifying, Lessening"
Vacillate,"Waver, Hesitate, Fluctuate, Falter"
Pejorative,"Insulting, Degrading, Derogatory, Dismissive"
Insuperable,"Insurmountable, Unconquerable, Overwhelming, Impossible"
Impetus,"Motivation, Drive, Stimulus, Impulse"
Moribund,"Dying, Declining, Fading, Stagnant"
Adroit,"Skillful, Deft, Clever, Capable"
Dearth,"Scarcity, Shortage, Lack, Deficiency"
Culpable,"Guilty, Blameworthy, Responsible, At fault"
Repose,"Rest, Relaxation, Calm, Tranquility"
Disrespectful,"Rude, Impertinent, Insolent, Discourteous"
Quibble,"Argue, Nitpick, Object, Bicker"
Discerning,"Perceptive, Insightful, Astute, Judicious"
Amalgamation,"Merger, Combination, Blend, Union"
Burgeon,"Grow, Expand, Flourish, Thrive"
Prudence,"Wisdom, Caution, Judgment, Discretion"
Cognize,"Perceive, Recognize, Understand, Comprehend"
Hilarity,"Amusement, Laughter, Merriment, Glee"
Replete,"Full, Abundant, Stuffed, Overflowing"
Insurrection,"Rebellion, Uprising, Revolution, Revolt"
Entreat,"Beg, Plead, Implore, Beseech"
Tawdry,"Cheap, Tacky, Gaudy, Tasteless"
Squalid,"Filthy, Dirty, Wretched, Degraded"
Fetid,"Foul, Putrid, Rank, Stinking"
Heresy,"Dissent, Blasphemy, Unorthodoxy, Apostasy"
Rebuff,"Reject, Snub, Dismiss, Repel"
Truncate,"Shorten, Cut, Trim, Abbreviate"
Pugnacious,"Aggressive, Combative, Hostile, Belligerent"
