Word,Synonyms
Adequate,"Sufficient, Acceptable, Satisfactory, Enough"
Administer,"Manage, Oversee, Govern, Direct"
Agitate,"Disturb, Stir, Unsettle, Provoke"
Capitulate,"Surrender, Submit, Yield, Concede"
Hovel,"Shack, Hut, Shanty, Dump"
Illiterate,"Uneducated, Unschooled, Ignorant, Unlearned"
Menial,"Lowly, Humble, Unskilled, Routine"
Respite,"Break, Relief, Pause, Rest"
Strenuous,"Demanding, Exhausting, Vigorous, Tough"
Toil,"Labor, Work, Struggle, Strive"
Aspire,"Aim, Seek, Strive, Desire"
Blatant,"Obvious, Flagrant, Brazen, Glaring"
Painted,"Colored, Decorated, Coated, Adorned"
Debut,"Launch, Introduction, Opening, Premiere"
Fluster,"Confuse, Rattle, Unsettle, Bewilder"
Impunity,"Exemption, Immunity, Freedom, License"
Retort,"Reply, Comeback, Response, Snap"
Stint,"Period, Spell, Turn, Stretch"
Beseech,"Plead, Beg, Implore, Urge"
Consternation,"Alarm, Dismay, Shock, Distress"
Garland,"Wreath, Crown, Festoon, Lei"
Gratify,"Satisfy, Please, Delight, Fulfill"
Haughty,"Arrogant, Proud, Conceited, Snobbish"
Impetuous,"Reckless, Impulsive, Hasty, Rash"
Lavish,"Extravagant, Generous, Abundant, Luxurious"
Ponder,"Reflect, Consider, Contemplate, Meditate"
Prostrate,"Flat, Exhausted, Overwhelmed, Overcome"
Rapture,"Bliss, Ecstasy, Delight, Joy"
Revelry,"Celebration, Festivity, Merrymaking, Rejoicing"
Whim,"Impulse, Fancy, Notion, Caprice"
Acrid,"Sharp, Bitter, Pungent, Harsh"
Cope,"Manage, Handle, Endure, Deal"
Headlong,"Reckless, Hasty, Rushed, Impulsive"
Hurtle,"Rush, Charge, Speed, Dart"
Impede,"Hinder, Block, Obstruct, Delay"
Inevitable,"Unavoidable, Certain, Inescapable, Sure"
Initiate,"Begin, Start, Launch, Introduce"
Irate,"Angry, Furious, Enraged, Outraged"
Lax,"Loose, Careless, Lenient, Slack"
Negligent,"Careless, Irresponsible, Inattentive, Reckless"
Smolder,"Burn, Fume, Seethe, Simmer"
Stringent,"Strict, Severe, Rigid, Demanding"
Throng,"Crowd, Swarm, Mob, Horde"
