Word,Synonyms
Arduous,"Difficult, Strenuous, Grueling, Demanding"
Exuberant,"Enthusiastic, Lively, Energetic, Vibrant"
Intrepid,"Fearless, Bold, Brave, Courageous"
Kindle,"Ignite, Spark, Arouse, Inspire"
Lucrative,"Profitable, Rewarding, Productive, Gainful"
Personable,"Friendly, Charming, Likable, Agreeable"
Proficient,"Skilled, Capable, Competent, Adept"
Scanty,"Scarce, Meager, Insufficient, Sparse"
Strait,"Narrow, Restricted, Channel, Passage"
Zest,"Enthusiasm, Eagerness, Passion, Vigor"
Allege,"Claim, Assert, Charge, Declare"
Conclusive,"Definitive, Decisive, Final, Convincing"
Counterpart,"Equivalent, Match, Parallel, Associate"
Dismal,"Gloomy, Dreary, Bleak, Depressing"
Enthrall,"Captivate, Fascinate, Enchant, Mesmerize"
Exotic,"Foreign, Unusual, Rare, Striking"
Incredulous,"Skeptical, Doubtful, Disbelieving, Unconvinced"
Lurk,"Skulk, Prowl, Sneak, Hide"
Menagerie,"Collection, Assortment, Zoo, Variety"
Naïve,"Innocent, Unsophisticated, Gullible, Simple"
Pander,"Indulge, Cater, Gratify, Appease"
Preposterous,"Absurd, Ridiculous, Outrageous, Nonsensical"
Scrupulous,"Careful, Thorough, Principled, Meticulous"
Complement,"Complete, Enhance, Match, Supplement"
Conjure,"Summon, Evoke, Create, Produce"
Homage,"Tribute, Respect, Honor, Reverence"
Impromptu,"Spontaneous, Unplanned, Unrehearsed, Off-the-cuff"
Medley,"Mixture, Assortment, Blend, Variety"
Oblige,"Require, Compel, Accommodate, Assist"
Pretentious,"Arrogant, Showy, Pompous, Conceited"
Prowess,"Skill, Expertise, Ability, Mastery"
Rustic,"Rural, Simple, Rough, Countrified"
Subtle,"Delicate, Understated, Nuanced, Refined"
Vocation,"Career, Calling, Profession, Occupation"
Warble,"Sing, Chirp, Trill, Twitter"
Bounty,"Abundance, Generosity, Reward, Plenty"
Ebb,"Decline, Recede, Diminish, Wane"
Forage,"Search, Scavenge, Hunt, Rummage"
Harass,"Bother, Pester, Intimidate, Torment"
Insulate,"Protect, Shield, Isolate, Cushion"
Lethargic,"Sluggish, Drowsy, Listless, Inactive"
Mottled,"Spotted, Blotched, Speckled, Dappled"
Proximity,"Nearness, Closeness, Vicinity, Adjacency"
Sleek,"Smooth, Glossy, Polished, Streamlined"
Wary,"Cautious, Alert, Watchful, Guarded"
Wean,"Detach, Separate, Withdraw, Transition"
