Word,Synonyms
Ensure,"Guarantee, Confirm, Secure, Verify"
Flourish,"Thrive, Prosper, Bloom, Succeed"
Garrison,"Fortify, Guard, Defend, Station"
Grievous,"Severe, Serious, Grave, Dreadful"
Hoard,"Stockpile, Collect, Accumulate, Store"
Inundate,"Overwhelm, Flood, Swamp, Submerge"
Placate,"Calm, Appease, Soothe, Pacify"
Principal,"Main, Chief, Primary, Leading"
Ruthless,"Merciless, Cruel, Heartless, Relentless"
Sacrifice,"Surrender, Forfeit, Offer, Relinquish"
Assert,"Declare, Claim, Insist, State"
Advert,"Notice, Reference, Advertisement, Announcement"
Bleak,"Grim, Dreary, Desolate, Harsh"
Blithe,"Cheerful, Carefree, Merry, Lighthearted"
Docile,"Obedient, Gentle, Submissive, Compliant"
Lethal,"Deadly, Fatal, Mortal, Dangerous"
Mutilate,"Mangle, Disfigure, Maim, Damage"
Nimble,"Agile, Quick, Spry, Deft"
Plight,"Predicament, Hardship, Dilemma, Struggle"
Vigilant,"Alert, Watchful, Cautious, Attentive"
Ballast,"Stabilizer, Weight, Balance, Support"
Buoyant,"Floating, Cheerful, Optimistic, Lively"
Clamber,"Climb, Scramble, Scale, Crawl"
Eerie,"Creepy, Strange, Unsettling, Mysterious"
Fathom,"Understand, Grasp, Comprehend, Gauge"
Pique,"Irritate, Offend, Provoke, Arouse"
Probe,"Investigate, Examine, Explore, Scrutinize"
Submerge,"Immerse, Plunge, Sink, Drown"
Tedious,"Boring, Monotonous, Dull, Tiresome"
Unscathed,"Unhurt, Unharmed, Safe, Intact"
Abduct,"Kidnap, Seize, Snatch, Capture"
Adobe,"Clay, Brick, Mud, Earthen"
Abyss,"Void, Chasm, Depth, Gulf"
Arbitrate,"Mediate, Negotiate, Settle, Judge"
Capricious,"Unpredictable, Impulsive, Fickle, Erratic"
Devout,"Pious, Religious, Faithful, Dedicated"
Distraught,"Distressed, Upset, Troubled, Anguished"
Enlighten,"Inform, Educate, Illuminate, Clarify"
Incline,"Slope, Lean, Tend, Tilt"
