Word,Synonyms
Hectic,"Frantic, chaotic, frenzied, busy"
Integrate,"Merge, combine, unify, incorporate"
Moor,"Anchor, secure, fasten, dock"
Squalor,"Filth, wretchedness, poverty, degradation"
Swivel,"Rotate, pivot, turn, spin"
Relinquish,"Surrender, abandon, yield, release"
Antic,"Prank, stunt, caper, escapade"
Attire,"Clothing, outfit, garb, apparel"
Deft,"Skillful, nimble, adroit, agile"
Innate,"Inborn, natural, inherent, instinctive"
Shroud,"Veil, cloak, cover, conceal"
Tentative,"Hesitant, uncertain, cautious, provisional"
Err,"Mistake, blunder, slip, misjudge"
Scoff,"Mock, ridicule, jeer, sneer"
Perpetual,"Endless, constant, continuous, eternal"
Gripe,"Complain, grumble, moan, whine"
Benevolent,"Kind, generous, charitable, compassionate"
Vanquish,"Defeat, conquer, overcome, crush"
Elicit,"Draw out, evoke, extract, prompt"
Exhilaration,"Excitement, thrill, elation, joy"
Onset,"Beginning, start, outset, commencement"
Paltry,"Meager, trivial, petty, insignificant"
Vicinity,"Neighborhood, area, proximity, surroundings"
Deprive,"Deny, strip, rob, withhold"
Lunacy,"Madness, insanity, folly, absurdity"
Novel,"New, original, fresh, innovative"
Agonized,"Tormented, suffering, distressed, anguished"
Idle,"Inactive, lazy, dormant, sluggish"
Fathom,"Understand, grasp, comprehend, gauge"
Farce,"Mockery, sham, absurdity, comedy"
Endeavor,"Attempt, effort, strive, undertaking"
Adorn,"Decorate, embellish, beautify, ornament"
Sedate,"Calm, composed, tranquil, placid"
Zeal,"Enthusiasm, passion, eagerness, fervor"
Lament,"Mourn, grieve, bemoan, weep"
Meticulous,"Careful, thorough, precise, diligent"
Conform,"Comply, adapt, follow, obey"
Exile,"Banish, expel, deport, ostracize"
Articulate,"Eloquent, fluent, clear, expressive"
Proficient,"Skilled, capable, competent, adept"
Elated,"Overjoyed, thrilled, ecstatic, jubilant"
Outlook,"Perspective, view, attitude, forecast"
Quaint,"Charming, old-fashioned, unique, curious"
Compel,"Force, drive, oblige, coerce"
Penetrate,"Pierce, enter, infiltrate, pervade"
Prudent,"Wise, cautious, sensible, careful"
Discreet,"Tactful, careful, subtle, reserved"
Patronizing,"Condescending, demeaning, superior, dismissive"
Obscure,"Unclear, vague, hidden, unknown"
Amiable,"Friendly, pleasant, likable, agreeable"
Exult,"Rejoice, celebrate, triumph, delight"
Introvert,"Reserved, withdrawn, shy, introspective"
Earnest,"Sincere, serious, genuine, heartfelt"
Comprise,"Include, contain, consist of, encompass"
Concoct,"Devise, fabricate, invent, brew"
Rendition,"Version, interpretation, performance, adaptation"
Acclaimed,"Celebrated, praised, honored, renowned"
Parched,"Dry, arid, thirsty, desiccated"
Toil,"Labor, work, struggle, drudgery"
Suave,"Smooth, charming, sophisticated, debonair"
Vex,"Annoy, irritate, frustrate, bother"
Maim,"Injure, cripple, wound, disable"
Adage,"Saying, proverb, maxim, motto"
Slew,"Many, multitude, host, abundance"
Alluded,"Hinted, suggested, implied, referred"
Burly,"Stocky, muscular, hefty, sturdy"
Terse,"Brief, concise, curt, short"
Substantial,"Considerable, significant, large, ample"
Unwieldy,"Awkward, bulky, clumsy, unmanageable"
Convalesce,"Recover, heal, recuperate, mend"
Stimulate,"Encourage, motivate, arouse, prompt"
Bask,"Revel, enjoy, luxuriate, delight"
Taper,"Narrow, reduce, diminish, thin"
Sparse,"Scarce, thin, meager, scattered"
Bungle,"Botch, fumble, mishandle, blunder"
Teem,"Swarm, abound, overflow, crawl"
Obsolete,"Outdated, old, archaic, defunct"
Revert,"Return, go back, relapse, regress"
Comply,"Obey, follow, conform, adhere"
Cumbersome,"Awkward, bulky, unwieldy, burdensome"
Exert,"Apply, use, exercise, employ"
Indignant,"Outraged, offended, resentful, annoyed"
Jest,"Joke, quip, tease, prank"
Caresses,"Strokes, touches, fondles, pets"
Ordeal,"Trial, hardship, struggle, tribulation"
