Word,Definition
,
Impetuous,"Reckless, Impulsive, Hasty, Rash"
,
Haughty,"Arrogant, Proud, Conceited, Snobbish"
,
Prostrate,"Flat, Exhausted, Overwhelmed, Overcome"
,
Rapture,"Bliss, Ecstasy, Delight, Joy"
,
Revelry,"Celebration, Festivity, Merrymaking, Rejoicing"
,
Whim,"Impulse, Fancy, Notion, Caprice"
,
Acrid,"Sharp, Bitter, Pungent, Harsh"
,
Cope,"Manage, Handle, Endure, Deal"
,
Headlong,"Reckless, Hasty, Rushed, Impulsive"
,
Hurtle,"Rush, Charge, Speed, Dart"
,
Inevitable,"Unavoidable, Certain, Inescapable, Sure"
,
Initiate,"Begin, Start, Launch, Introduce"
,
Irate,"Angry, Furious, Enraged, Outraged"
,
Negligent,"Careless, Irresponsible, Inattentive, Reckless"
,
Smolder,"Burn, Fume, Seethe, Simmer"
,
Stringent,"Strict, Severe, Rigid, Demanding"
,
Throng,"Crowd, Swarm, Mob, Horde"
,
Menial,"Lowly, Humble"
Aspire,Hope
Impunity,Immune from penalty
Stint,Period
Consternation,"Dismay, Distress"
