Word,Synonyms
Passage,"Corridor, Path, Excerpt, Transition"
Intermingling,"Mixing, Blending, Merging, Combining"
Retreat,"Withdraw, Flee, Escape, Recede"
Waver,"Hesitate, Falter, Fluctuate, Wobble"
Whim,"Impulse, Fancy, Notion, Caprice"
Retrieve,"Recover, Fetch, Reclaim, Regain"
Compromise,"Settle, Negotiate, Concede, Agree"
Incense,"Enrage, Infuriate, Anger, Provoke"
Writhe,"Squirm, Twist, Contort, Wriggle"
Stern,"Strict, Harsh, Firm, Severe"
Superstitious,"Fearful, Irrational, Mystical, Suspicious"
Unbearable,"Intolerable, Insufferable, Overwhelming, Unendurable"
Pounce,"Leap, Lunge, Spring, Attack"
Pucker,"Wrinkle, Crinkle, Scrunch, Compress"
Nudge,"Poke, Prod, Push, Prompt"
