Word,Synonyms
Asperity,"Harshness, Severity, Roughness, Sharpness"
Unremitting,"Relentless, Constant, Persistent, Ceaseless"
Rudiment,"Basics, Fundamentals, Essentials, Foundation"
Adjudicate,"Judge, Arbitrate, Decide, Mediate"
Countenance,"Face, Expression, Appearance, Composure"
Spurious,"False, Fake, Bogus, Deceptive"
Gird,"Prepare, Brace, Strengthen, Fortify"
Inalienable,"Absolute, Inherent, Unalienable, Fundamental"
Infamy,"Disgrace, Notoriety, Dishonor, Shame"
Indignity,"Humiliation, Insult, Disrespect, Degradation"
Intercede,"Mediate, Intervene, Arbitrate, Plead"
Malign,"Slander, Defame, Vilify, Denounce"
Smattering,"Handful, Sprinkling, Dash, Modicum"
Adulate,"Flatter, Praise, Idolize, Glorify"
Annals,"Records, Chronicles, History, Archives"
Chary,"Cautious, Wary, Careful, Guarded"
Ephemeral,"Fleeting, Temporary, Transient, Brief"
Ingratiate,"Charm, Flatter, Endear, Curry favor"
Perverse,"Contrary, Stubborn, Deviant, Willful"
Emaciated,"Gaunt, Skeletal, Wasted, Thin"
Inexorable,"Relentless, Unstoppable, Unyielding, Inevitable"
Poignant,"Touching, Moving, Emotional, Heartfelt"
Proselytize,"Convert, Persuade, Recruit, Evangelize"
Circumvent,"Bypass, Avoid, Evade, Sidestep"
Compunction,"Remorse, Guilt, Regret, Scruple"
Infirmity,"Weakness, Ailment, Frailty, Disability"
Profane,"Disrespectful, Irreverent, Blasphemous, Vulgar"
Recompense,"Compensation, Payment, Reward, Repayment"
Repast,"Meal, Feast, Banquet, Spread"
