Word,Definition
Relinquish,"Surrender, abandon, yield, release"
Farce,"Mockery, sham, absurdity, comedy"
Endeavor,"Attempt, effort, strive, undertaking"
Meticulous,"Careful, thorough, precise, diligent"
Articulate,"Eloquent, fluent, clear, expressive"
Discreet,"Tactful, careful, subtle, reserved"
Obscure,"Unclear, vague, hidden, unknown"
Conspicuous,"Obvious, Noticeable, Prominent, Striking"
Captivate,"Fascinate, Charm, Enchant, Enthrall"
Sheath,"Cover, Casing, Scabbard, Sleeve"
Fanciful,"Imaginative, Whimsical, Fantastical, Dreamy"
Oblivious,"Unaware, Ignorant, Heedless, Inattentive"
Coincide,"Agree, Correspond, Overlap, Align"
Dissent,"Disagree, Oppose, Object, Protest"
Furnish,"Supply, Provide, Equip, Outfit"
Bluster,"Boast, Brag, Swagger, Rant"
Rash,"Impulsive, Reckless, Hasty, Careless"
