Word,Definition
Moor,"Anchor, secure, fasten, dock"
Squalor,"Filth, wretchedness, poverty, degradation"
Relinquish,"Surrender, abandon, yield, release"
Deft,"Skillful, nimble, adroit, agile"
Shroud,"Veil, cloak, cover, conceal"
Tentative,"Hesitant, uncertain, cautious, provisional"
Err,"Mistake, blunder, slip, misjudge"
Scoff,"Mock, ridicule, jeer, sneer"
Gripe,"Complain, grumble, moan, whine"
Benevolent,"Kind, generous, charitable, compassionate"
Vanquish,"Defeat, conquer, overcome, crush"
Exhilaration,"Excitement, thrill, elation, joy"
Elicit,"Draw out, evoke, extract, prompt"
Onset,"Beginning, start, outset, commencement"
Paltry,"Meager, trivial, petty, insignificant"
Deprive,"Deny, strip, rob, withhold"
Lunacy,"Madness, insanity, folly, absurdity"
Novel,"New, original, fresh, innovative"
Idle,"Inactive, lazy, dormant, sluggish"
Fathom,"Understand, grasp, comprehend, gauge"
Farce,"Mockery, sham, absurdity, comedy"
Endeavor,"Attempt, effort, strive, undertaking"
Adorn,"Decorate, embellish, beautify, ornament"
Meticulous,"Careful, thorough, precise, diligent"
Lament,"Mourn, grieve, bemoan, weep"
Conform,"Comply, adapt, follow, obey"
Articulate,"Eloquent, fluent, clear, expressive"
Elated,"Overjoyed, thrilled, ecstatic, jubilant"
Prudent,"Wise, cautious, sensible, careful"
Discreet,"Tactful, careful, subtle, reserved"
Obscure,"Unclear, vague, hidden, unknown"
Amiable,"Friendly, pleasant, likable, agreeable"
Exult,"Rejoice, celebrate, triumph, delight"
Introvert,"Reserved, withdrawn, shy, introspective"
Rendition,"Version, interpretation, performance, adaptation"
Vex,"Annoy, irritate, frustrate, bother"
Maim,"Injure, cripple, wound, disable"
Adage,"Saying, proverb, maxim, motto"
Slew,"Many, multitude, host, abundance"
Substantial,"Considerable, significant, large, ample"
Unwieldy,"Awkward, bulky, clumsy, unmanageable"
Convalesce,"Recover, heal, recuperate, mend"
Stimulate,"Encourage, motivate, arouse, prompt"
Bask,"Revel, enjoy, luxuriate, delight"
Taper,"Narrow, reduce, diminish, thin"
Teem,"Swarm, abound, overflow, crawl"
Obsolete,"Outdated, old, archaic, defunct"
Comply,"Obey, follow, conform, adhere"
Cumbersome,"Awkward, bulky, unwieldy, burdensome"
Exert,"Apply, use, exercise, employ"
Caresses,"Strokes, touches, fondles, pets"
